Archive_Date,Specialty_HIPE,Speciality,Adult_Child,Age_Profile,Time_Bands,Total
1/31/2021,1302,Paediatric Neurology,Child,16-64,15-18 Months,3
1/31/2021,1503,Gynaecology,Child,16-64, 9-12 Months,1
1/31/2021,1700,Ophthalmology,Child,16-64, 9-12 Months,8
1/31/2021,1802,Paed Orthopaedic,Child,0-15, 9-12 Months,427
1/31/2021,1802,Paed Orthopaedic,Child,16-64,18 Months +,185
1/31/2021,1900,Paediatrics,Child,0-15, 0-3 Months,1435
1/31/2021,1900,Paediatrics,Child,0-15,18 Months +,326
1/31/2021,1900,Paediatrics,Child,16-64, 3-6 Months,18
1/31/2021,1900,Paediatrics,Child,16-64, 6-9 Months,7
1/31/2021,1900,Paediatrics,Child,16-64,12-15 Months,8
1/31/2021,1902,Paed Cardiology,Child,0-15, 9-12 Months,286
1/31/2021,1902,Paed Cardiology,Child,0-15,18 Months +,171
1/31/2021,1902,Paed Cardiology,Child,16-64,18 Months +,18
1/31/2021,1902,Paed Cardiology,Child,65+, 0-3 Months,1
1/31/2021,1903,Paed Oncology,Child,0-15, 9-12 Months,2
1/31/2021,1904,Neonatology,Child,0-15, 0-3 Months,9
1/31/2021,1904,Neonatology,Child,0-15, 3-6 Months,4
1/31/2021,1904,Neonatology,Child,0-15,12-15 Months,1
1/31/2021,1905,Paed Endocrinology,Child,0-15, 9-12 Months,58
1/31/2021,1905,Paed Endocrinology,Child,16-64,18 Months +,8
1/31/2021,1906,Paed Gastro-Enterol,Child,16-64,18 Months +,91
1/31/2021,1907,Paed Haematology,Child,16-64, 9-12 Months,4
1/31/2021,1907,Paed Haematology,Child,16-64,18 Months +,1
1/31/2021,1909,Paediatric Infectious Diseases,Child,0-15, 9-12 Months,13
1/31/2021,1910,Paed Metabolic Medicine,Child,0-15, 0-3 Months,31
1/31/2021,1910,Paed Metabolic Medicine,Child,0-15, 3-6 Months,24
1/31/2021,1910,Paed Metabolic Medicine,Child,0-15, 6-9 Months,5
1/31/2021,1910,Paed Metabolic Medicine,Child,0-15,12-15 Months,1
1/31/2021,1910,Paed Metabolic Medicine,Child,0-15,18 Months +,2
1/31/2021,1910,Paed Metabolic Medicine,Child,16-64, 0-3 Months,1
1/31/2021,1911,Paed Nephrology,Child,16-64,18 Months +,7
1/31/2021,1912,Paediatric Respiratory Medicine,Child,0-15, 3-6 Months,138
1/31/2021,1912,Paediatric Respiratory Medicine,Child,0-15,12-15 Months,181
1/31/2021,1912,Paediatric Respiratory Medicine,Child,16-64, 9-12 Months,2
1/31/2021,1915,Paediatric Dermatology,Child,0-15,18 Months +,2049
1/31/2021,1915,Paediatric Dermatology,Child,16-64, 0-3 Months,19
1/31/2021,1915,Paediatric Dermatology,Child,16-64,15-18 Months,26
1/31/2021,1915,Paediatric Dermatology,Child,16-64,18 Months +,377
1/31/2021,1916,Developmental Paediatrics,Child,0-15, 9-12 Months,76
1/31/2021,1916,Developmental Paediatrics,Child,16-64,18 Months +,13
1/31/2021,2000,Plastic Surgery,Child,0-15, 0-3 Months,269
1/31/2021,2000,Plastic Surgery,Child,0-15,18 Months +,264
1/31/2021,2000,Plastic Surgery,Child,16-64, 0-3 Months,3
1/31/2021,0,Small Volume Specialities,Child,0-15, 6-9 Months,2
1/31/2021,601,Paediatric ENT,Child,0-15, 9-12 Months,634
1/31/2021,601,Paediatric ENT,Child,16-64,18 Months +,130
1/31/2021,1302,Paediatric Neurology,Child,16-64, 9-12 Months,2
1/31/2021,1402,Paediatric Neurosurgery,Child,0-15, 0-3 Months,21
1/31/2021,1402,Paediatric Neurosurgery,Child,0-15, 6-9 Months,4
1/31/2021,1402,Paediatric Neurosurgery,Child,0-15,15-18 Months,3
1/31/2021,1402,Paediatric Neurosurgery,Child,0-15,18 Months +,7
1/31/2021,1402,Paediatric Neurosurgery,Child,16-64, 0-3 Months,5
1/31/2021,1402,Paediatric Neurosurgery,Child,16-64, 3-6 Months,4
1/31/2021,1503,Gynaecology,Child,0-15, 3-6 Months,46
1/31/2021,1503,Gynaecology,Child,0-15,12-15 Months,6
1/31/2021,1503,Gynaecology,Child,0-15,18 Months +,4
1/31/2021,1503,Gynaecology,Child,16-64, 0-3 Months,2
1/31/2021,1503,Gynaecology,Child,16-64, 6-9 Months,3
1/31/2021,1700,Ophthalmology,Child,0-15,18 Months +,1677
1/31/2021,1700,Ophthalmology,Child,16-64, 0-3 Months,10
1/31/2021,1700,Ophthalmology,Child,16-64,15-18 Months,1
1/31/2021,1802,Paed Orthopaedic,Child,0-15, 0-3 Months,668
1/31/2021,1802,Paed Orthopaedic,Child,0-15, 3-6 Months,613
1/31/2021,1802,Paed Orthopaedic,Child,16-64, 3-6 Months,22
1/31/2021,1802,Paed Orthopaedic,Child,16-64, 6-9 Months,12
1/31/2021,1802,Paed Orthopaedic,Child,16-64,12-15 Months,21
1/31/2021,1802,Paed Orthopaedic,Child,16-64,15-18 Months,27
1/31/2021,1900,Paediatrics,Child,0-15, 9-12 Months,194
1/31/2021,1900,Paediatrics,Child,16-64, 9-12 Months,8
1/31/2021,1902,Paed Cardiology,Child,0-15, 6-9 Months,368
1/31/2021,1902,Paed Cardiology,Child,0-15,15-18 Months,50
1/31/2021,1902,Paed Cardiology,Child,16-64, 3-6 Months,21
1/31/2021,1903,Paed Oncology,Child,0-15, 0-3 Months,1
1/31/2021,1903,Paed Oncology,Child,0-15, 3-6 Months,1
1/31/2021,1903,Paed Oncology,Child,0-15, 6-9 Months,3
1/31/2021,1905,Paed Endocrinology,Child,0-15, 0-3 Months,160
1/31/2021,1905,Paed Endocrinology,Child,0-15, 6-9 Months,60
1/31/2021,1905,Paed Endocrinology,Child,0-15,15-18 Months,59
1/31/2021,1906,Paed Gastro-Enterol,Child,0-15, 3-6 Months,147
1/31/2021,1906,Paed Gastro-Enterol,Child,0-15,15-18 Months,64
1/31/2021,1906,Paed Gastro-Enterol,Child,16-64, 9-12 Months,5
1/31/2021,1907,Paed Haematology,Child,0-15, 0-3 Months,69
1/31/2021,1907,Paed Haematology,Child,0-15, 3-6 Months,55
1/31/2021,1907,Paed Haematology,Child,0-15,12-15 Months,13
1/31/2021,1907,Paed Haematology,Child,16-64, 6-9 Months,3
1/31/2021,1907,Paed Haematology,Child,16-64,15-18 Months,1
1/31/2021,1909,Paediatric Infectious Diseases,Child,0-15, 0-3 Months,31
1/31/2021,1909,Paediatric Infectious Diseases,Child,0-15, 3-6 Months,18
1/31/2021,1909,Paediatric Infectious Diseases,Child,0-15, 6-9 Months,30
1/31/2021,1909,Paediatric Infectious Diseases,Child,0-15,12-15 Months,25
1/31/2021,1909,Paediatric Infectious Diseases,Child,0-15,15-18 Months,6
1/31/2021,1909,Paediatric Infectious Diseases,Child,16-64,12-15 Months,2
1/31/2021,1910,Paed Metabolic Medicine,Child,0-15, 9-12 Months,2
1/31/2021,1911,Paed Nephrology,Child,0-15, 0-3 Months,171
1/31/2021,1911,Paed Nephrology,Child,0-15, 3-6 Months,111
1/31/2021,601,Paediatric ENT,Child,0-15,18 Months +,1835
1/31/2021,601,Paediatric ENT,Child,16-64, 0-3 Months,6
1/31/2021,601,Paediatric ENT,Child,16-64, 3-6 Months,11
1/31/2021,601,Paediatric ENT,Child,16-64, 9-12 Months,13
1/31/2021,601,Paediatric ENT,Child,16-64,12-15 Months,37
1/31/2021,1302,Paediatric Neurology,Child,0-15, 0-3 Months,325
1/31/2021,1302,Paediatric Neurology,Child,0-15, 3-6 Months,106
1/31/2021,1302,Paediatric Neurology,Child,0-15, 6-9 Months,29
1/31/2021,1302,Paediatric Neurology,Child,0-15, 9-12 Months,25
1/31/2021,1302,Paediatric Neurology,Child,0-15,12-15 Months,27
1/31/2021,1302,Paediatric Neurology,Child,16-64,12-15 Months,3
1/31/2021,1402,Paediatric Neurosurgery,Child,16-64, 9-12 Months,1
1/31/2021,1503,Gynaecology,Child,0-15,15-18 Months,2
1/31/2021,1700,Ophthalmology,Child,0-15, 0-3 Months,623
1/31/2021,1700,Ophthalmology,Child,0-15, 3-6 Months,368
1/31/2021,1700,Ophthalmology,Child,0-15, 6-9 Months,173
1/31/2021,1700,Ophthalmology,Child,0-15, 9-12 Months,247
1/31/2021,1700,Ophthalmology,Child,0-15,12-15 Months,258
1/31/2021,1700,Ophthalmology,Child,16-64, 3-6 Months,2
1/31/2021,1700,Ophthalmology,Child,16-64, 6-9 Months,1
1/31/2021,1700,Ophthalmology,Child,16-64,12-15 Months,3
1/31/2021,1802,Paed Orthopaedic,Child,0-15, 6-9 Months,398
1/31/2021,1802,Paed Orthopaedic,Child,0-15,12-15 Months,402
1/31/2021,1900,Paediatrics,Child,0-15, 3-6 Months,790
1/31/2021,1900,Paediatrics,Child,0-15, 6-9 Months,425
1/31/2021,1900,Paediatrics,Child,0-15,12-15 Months,159
1/31/2021,1902,Paed Cardiology,Child,16-64,15-18 Months,9
1/31/2021,1904,Neonatology,Child,0-15, 6-9 Months,1
1/31/2021,1905,Paed Endocrinology,Child,0-15, 3-6 Months,121
1/31/2021,1905,Paed Endocrinology,Child,0-15,12-15 Months,75
1/31/2021,1905,Paed Endocrinology,Child,0-15,18 Months +,45
1/31/2021,1905,Paed Endocrinology,Child,16-64, 0-3 Months,8
1/31/2021,1905,Paed Endocrinology,Child,16-64, 3-6 Months,7
1/31/2021,1905,Paed Endocrinology,Child,16-64, 6-9 Months,2
1/31/2021,1905,Paed Endocrinology,Child,16-64, 9-12 Months,6
1/31/2021,1905,Paed Endocrinology,Child,16-64,12-15 Months,7
1/31/2021,1906,Paed Gastro-Enterol,Child,0-15, 0-3 Months,264
1/31/2021,1906,Paed Gastro-Enterol,Child,0-15, 6-9 Months,61
1/31/2021,1906,Paed Gastro-Enterol,Child,0-15, 9-12 Months,74
1/31/2021,1906,Paed Gastro-Enterol,Child,0-15,12-15 Months,61
1/31/2021,1906,Paed Gastro-Enterol,Child,0-15,18 Months +,458
1/31/2021,1906,Paed Gastro-Enterol,Child,16-64, 0-3 Months,4
1/31/2021,1906,Paed Gastro-Enterol,Child,16-64, 3-6 Months,7
1/31/2021,1906,Paed Gastro-Enterol,Child,16-64, 6-9 Months,1
1/31/2021,1906,Paed Gastro-Enterol,Child,16-64,12-15 Months,3
1/31/2021,1907,Paed Haematology,Child,0-15, 9-12 Months,32
1/31/2021,1907,Paed Haematology,Child,0-15,15-18 Months,4
1/31/2021,1907,Paed Haematology,Child,0-15,18 Months +,18
1/31/2021,1907,Paed Haematology,Child,16-64, 0-3 Months,2
1/31/2021,1907,Paed Haematology,Child,16-64, 3-6 Months,2
1/31/2021,1909,Paediatric Infectious Diseases,Child,0-15,18 Months +,6
1/31/2021,1909,Paediatric Infectious Diseases,Child,16-64, 9-12 Months,1
1/31/2021,2500,Rheumatology,Child,16-64, 3-6 Months,2
1/31/2021,2500,Rheumatology,Child,16-64, 6-9 Months,3
1/31/2021,2500,Rheumatology,Child,16-64,12-15 Months,7
1/31/2021,6700,Clinical (Medical) Genetics,Child,0-15, 0-3 Months,149
1/31/2021,6700,Clinical (Medical) Genetics,Child,0-15, 9-12 Months,127
1/31/2021,6700,Clinical (Medical) Genetics,Child,0-15,18 Months +,607
1/31/2021,6700,Clinical (Medical) Genetics,Child,16-64, 3-6 Months,39
1/31/2021,6700,Clinical (Medical) Genetics,Child,16-64, 6-9 Months,38
1/31/2021,6700,Clinical (Medical) Genetics,Child,16-64,12-15 Months,55
1/31/2021,7000,Dental Surgery,Child,16-64, 9-12 Months,3
1/31/2021,7000,Dental Surgery,Child,16-64,18 Months +,11
1/31/2021,7200,Paediatric Surgery,Child,16-64,15-18 Months,26
1/31/2021,7803,Paediatric Urology,Child,0-15, 0-3 Months,205
1/31/2021,7803,Paediatric Urology,Child,0-15, 3-6 Months,172
1/31/2021,7803,Paediatric Urology,Child,0-15, 6-9 Months,105
1/31/2021,7803,Paediatric Urology,Child,0-15, 9-12 Months,113
1/31/2021,7803,Paediatric Urology,Child,0-15,12-15 Months,150
1/31/2021,7803,Paediatric Urology,Child,16-64,12-15 Months,1
1/31/2021,7900,Clinical Immunology,Child,0-15, 0-3 Months,159
1/31/2021,7900,Clinical Immunology,Child,0-15, 9-12 Months,77
1/31/2021,7900,Clinical Immunology,Child,0-15,18 Months +,989
1/31/2021,7900,Clinical Immunology,Child,16-64, 3-6 Months,1
1/31/2021,7900,Clinical Immunology,Child,16-64,12-15 Months,2
1/31/2021,8004,Paediatric Anaesthetics,Child,0-15,18 Months +,34
1/31/2021,8004,Paediatric Anaesthetics,Child,16-64, 0-3 Months,3
1/31/2021,0,Small Volume Specialities,Adult,16-64, 0-3 Months,1
1/31/2021,100,Cardiology,Adult,16-64, 3-6 Months,102
1/31/2021,100,Cardiology,Adult,16-64, 6-9 Months,77
1/31/2021,100,Cardiology,Adult,16-64, 9-12 Months,107
1/31/2021,100,Cardiology,Adult,16-64,12-15 Months,125
1/31/2021,300,Dermatology,Adult,16-64, 3-6 Months,213
1/31/2021,300,Dermatology,Adult,16-64, 6-9 Months,114
1/31/2021,300,Dermatology,Adult,16-64,12-15 Months,117
1/31/2021,1100,Haematology,Adult,16-64, 0-3 Months,39
1/31/2021,1100,Haematology,Adult,16-64, 3-6 Months,31
1/31/2021,1100,Haematology,Adult,16-64, 9-12 Months,12
1/31/2021,1100,Haematology,Adult,16-64,12-15 Months,12
1/31/2021,1100,Haematology,Adult,65+, 6-9 Months,11
1/31/2021,1300,Neurology,Adult,16-64, 0-3 Months,19
1/31/2021,1300,Neurology,Adult,16-64, 9-12 Months,16
1/31/2021,1300,Neurology,Adult,65+, 6-9 Months,2
1/31/2021,1300,Neurology,Adult,65+,12-15 Months,3
1/31/2021,1800,Orthopaedics,Adult,65+, 0-3 Months,99
1/31/2021,1800,Orthopaedics,Adult,65+, 6-9 Months,86
1/31/2021,1800,Orthopaedics,Adult,65+, 9-12 Months,91
1/31/2021,1800,Orthopaedics,Adult,65+,18 Months +,250
1/31/2021,2500,Rheumatology,Adult,16-64,15-18 Months,23
1/31/2021,2500,Rheumatology,Adult,65+, 3-6 Months,17
1/31/2021,2500,Rheumatology,Adult,65+,12-15 Months,7
1/31/2021,2500,Rheumatology,Adult,65+,18 Months +,81
1/31/2021,2600,General Surgery,Adult,65+,15-18 Months,3
1/31/2021,5000,General Medicine,Adult,16-64, 9-12 Months,157
1/31/2021,2000,Plastic Surgery,Child,16-64, 3-6 Months,5
1/31/2021,2000,Plastic Surgery,Child,16-64,12-15 Months,15
1/31/2021,2102,Child/Adolescent Psychiatry,Child,0-15, 0-3 Months,23
1/31/2021,2102,Child/Adolescent Psychiatry,Child,16-64,12-15 Months,1
1/31/2021,2500,Rheumatology,Child,0-15, 3-6 Months,92
1/31/2021,2500,Rheumatology,Child,0-15, 6-9 Months,50
1/31/2021,2500,Rheumatology,Child,0-15,12-15 Months,72
1/31/2021,2500,Rheumatology,Child,0-15,15-18 Months,57
1/31/2021,2500,Rheumatology,Child,16-64, 9-12 Months,8
1/31/2021,2500,Rheumatology,Child,16-64,15-18 Months,13
1/31/2021,6200,Clinical Neurophysiology,Child,0-15, 0-3 Months,1
1/31/2021,6200,Clinical Neurophysiology,Child,0-15, 3-6 Months,2
1/31/2021,6200,Clinical Neurophysiology,Child,0-15, 6-9 Months,11
1/31/2021,6200,Clinical Neurophysiology,Child,0-15,12-15 Months,3
1/31/2021,6200,Clinical Neurophysiology,Child,16-64, 0-3 Months,2
1/31/2021,6200,Clinical Neurophysiology,Child,16-64, 3-6 Months,1
1/31/2021,6200,Clinical Neurophysiology,Child,16-64,12-15 Months,1
1/31/2021,6700,Clinical (Medical) Genetics,Child,0-15, 3-6 Months,153
1/31/2021,6700,Clinical (Medical) Genetics,Child,0-15, 6-9 Months,97
1/31/2021,6700,Clinical (Medical) Genetics,Child,0-15,12-15 Months,138
1/31/2021,6700,Clinical (Medical) Genetics,Child,16-64, 9-12 Months,47
1/31/2021,6700,Clinical (Medical) Genetics,Child,16-64,15-18 Months,36
1/31/2021,7000,Dental Surgery,Child,0-15, 9-12 Months,69
1/31/2021,7200,Paediatric Surgery,Child,0-15, 9-12 Months,422
1/31/2021,7200,Paediatric Surgery,Child,16-64,18 Months +,26
1/31/2021,7600,Cardio-Thoracic Surgery,Child,0-15, 0-3 Months,44
1/31/2021,7600,Cardio-Thoracic Surgery,Child,0-15,18 Months +,7
1/31/2021,7600,Cardio-Thoracic Surgery,Child,16-64, 0-3 Months,3
1/31/2021,7600,Cardio-Thoracic Surgery,Child,16-64, 3-6 Months,3
1/31/2021,7600,Cardio-Thoracic Surgery,Child,16-64, 6-9 Months,2
1/31/2021,7600,Cardio-Thoracic Surgery,Child,16-64,12-15 Months,1
1/31/2021,7803,Paediatric Urology,Child,0-15,18 Months +,349
1/31/2021,7803,Paediatric Urology,Child,16-64, 0-3 Months,2
1/31/2021,7803,Paediatric Urology,Child,16-64, 6-9 Months,1
1/31/2021,7803,Paediatric Urology,Child,16-64,15-18 Months,1
1/31/2021,7900,Clinical Immunology,Child,0-15, 3-6 Months,86
1/31/2021,7900,Clinical Immunology,Child,0-15, 6-9 Months,43
1/31/2021,7900,Clinical Immunology,Child,0-15,12-15 Months,120
1/31/2021,7900,Clinical Immunology,Child,16-64,15-18 Months,2
1/31/2021,8003,Pain Relief,Child,0-15, 9-12 Months,3
1/31/2021,8004,Paediatric Anaesthetics,Child,16-64,18 Months +,14
1/31/2021,8800,Immunology,Child,0-15, 9-12 Months,32
1/31/2021,8800,Immunology,Child,16-64, 9-12 Months,1
1/31/2021,0,Small Volume Specialities,Adult,65+, 0-3 Months,4
1/31/2021,100,Cardiology,Adult,65+,18 Months +,189
1/31/2021,300,Dermatology,Adult,16-64, 0-3 Months,230
1/31/2021,300,Dermatology,Adult,65+, 6-9 Months,48
1/31/2021,300,Dermatology,Adult,65+,12-15 Months,35
1/31/2021,300,Dermatology,Adult,65+,15-18 Months,28
1/31/2021,300,Dermatology,Child,0-15, 0-3 Months,1
1/31/2021,300,Dermatology,Child,0-15, 3-6 Months,2
1/31/2021,1911,Paed Nephrology,Child,0-15,12-15 Months,25
1/31/2021,1911,Paed Nephrology,Child,0-15,15-18 Months,31
1/31/2021,1911,Paed Nephrology,Child,16-64, 6-9 Months,2
1/31/2021,1912,Paediatric Respiratory Medicine,Child,16-64,18 Months +,41
1/31/2021,1915,Paediatric Dermatology,Child,0-15, 3-6 Months,503
1/31/2021,1915,Paediatric Dermatology,Child,0-15,12-15 Months,298
1/31/2021,1915,Paediatric Dermatology,Child,16-64, 9-12 Months,17
1/31/2021,1916,Developmental Paediatrics,Child,0-15, 0-3 Months,81
1/31/2021,1916,Developmental Paediatrics,Child,0-15, 3-6 Months,49
1/31/2021,1916,Developmental Paediatrics,Child,0-15,12-15 Months,54
1/31/2021,1916,Developmental Paediatrics,Child,16-64,15-18 Months,2
1/31/2021,2000,Plastic Surgery,Child,0-15, 9-12 Months,167
1/31/2021,2000,Plastic Surgery,Child,0-15,15-18 Months,141
1/31/2021,2000,Plastic Surgery,Child,16-64, 9-12 Months,7
1/31/2021,2102,Child/Adolescent Psychiatry,Child,0-15, 9-12 Months,2
1/31/2021,2500,Rheumatology,Child,16-64,18 Months +,196
1/31/2021,6200,Clinical Neurophysiology,Child,0-15, 9-12 Months,10
1/31/2021,6700,Clinical (Medical) Genetics,Child,16-64, 0-3 Months,52
1/31/2021,6700,Clinical (Medical) Genetics,Child,16-64,18 Months +,216
1/31/2021,6700,Clinical (Medical) Genetics,Child,65+, 3-6 Months,2
1/31/2021,6700,Clinical (Medical) Genetics,Child,65+,12-15 Months,2
1/31/2021,6700,Clinical (Medical) Genetics,Child,65+,15-18 Months,3
1/31/2021,7000,Dental Surgery,Child,0-15, 0-3 Months,65
1/31/2021,7000,Dental Surgery,Child,0-15, 6-9 Months,29
1/31/2021,7000,Dental Surgery,Child,0-15,15-18 Months,39
1/31/2021,7000,Dental Surgery,Child,0-15,18 Months +,144
1/31/2021,7000,Dental Surgery,Child,16-64, 3-6 Months,2
1/31/2021,7000,Dental Surgery,Child,16-64,12-15 Months,8
1/31/2021,7200,Paediatric Surgery,Child,0-15, 0-3 Months,1029
1/31/2021,7200,Paediatric Surgery,Child,0-15, 3-6 Months,848
1/31/2021,7200,Paediatric Surgery,Child,0-15, 6-9 Months,544
1/31/2021,7200,Paediatric Surgery,Child,0-15,12-15 Months,331
1/31/2021,7200,Paediatric Surgery,Child,0-15,15-18 Months,307
1/31/2021,7200,Paediatric Surgery,Child,16-64, 6-9 Months,11
1/31/2021,7600,Cardio-Thoracic Surgery,Child,0-15, 9-12 Months,10
1/31/2021,7600,Cardio-Thoracic Surgery,Child,0-15,15-18 Months,3
1/31/2021,7600,Cardio-Thoracic Surgery,Child,16-64, 9-12 Months,2
1/31/2021,7803,Paediatric Urology,Child,16-64, 9-12 Months,1
1/31/2021,7900,Clinical Immunology,Child,16-64, 0-3 Months,3
1/31/2021,7900,Clinical Immunology,Child,16-64,18 Months +,71
1/31/2021,8003,Pain Relief,Child,0-15, 3-6 Months,7
1/31/2021,8003,Pain Relief,Child,0-15, 6-9 Months,3
1/31/2021,8003,Pain Relief,Child,0-15,12-15 Months,3
1/31/2021,8004,Paediatric Anaesthetics,Child,0-15, 0-3 Months,10
1/31/2021,8004,Paediatric Anaesthetics,Child,0-15, 3-6 Months,2
1/31/2021,8004,Paediatric Anaesthetics,Child,0-15, 6-9 Months,7
1/31/2021,8004,Paediatric Anaesthetics,Child,0-15,15-18 Months,2
1/31/2021,8004,Paediatric Anaesthetics,Child,16-64, 3-6 Months,3
1/31/2021,8800,Immunology,Child,0-15, 0-3 Months,62
1/31/2021,8800,Immunology,Child,0-15, 3-6 Months,40
1/31/2021,8800,Immunology,Child,0-15, 6-9 Months,13
1/31/2021,1100,Haematology,Adult,16-64, 6-9 Months,18
1/31/2021,1100,Haematology,Adult,16-64,15-18 Months,11
1/31/2021,1100,Haematology,Adult,65+, 9-12 Months,5
1/31/2021,1300,Neurology,Adult,16-64, 3-6 Months,21
1/31/2021,1300,Neurology,Adult,16-64, 6-9 Months,14
1/31/2021,1300,Neurology,Adult,16-64,12-15 Months,26
1/31/2021,1300,Neurology,Adult,16-64,15-18 Months,17
1/31/2021,1800,Orthopaedics,Adult,16-64, 9-12 Months,212
1/31/2021,2500,Rheumatology,Adult,65+, 9-12 Months,13
1/31/2021,2600,General Surgery,Adult,16-64, 9-12 Months,7
1/31/2021,2600,General Surgery,Adult,65+, 0-3 Months,94
1/31/2021,2600,General Surgery,Adult,65+, 3-6 Months,67
1/31/2021,2600,General Surgery,Child,0-15, 0-3 Months,3
1/31/2021,5000,General Medicine,Adult,16-64, 0-3 Months,405
1/31/2021,5000,General Medicine,Adult,16-64, 3-6 Months,327
1/31/2021,5000,General Medicine,Adult,16-64, 6-9 Months,202
1/31/2021,5000,General Medicine,Adult,16-64,12-15 Months,168
1/31/2021,5000,General Medicine,Adult,16-64,15-18 Months,159
1/31/2021,5000,General Medicine,Adult,65+, 9-12 Months,71
1/31/2021,8000,Anaesthetics,Adult,16-64, 3-6 Months,13
1/31/2021,8000,Anaesthetics,Adult,16-64,12-15 Months,7
1/31/2021,8000,Anaesthetics,Adult,16-64,18 Months +,52
1/31/2021,8000,Anaesthetics,Adult,65+, 0-3 Months,10
1/31/2021,8000,Anaesthetics,Adult,65+,15-18 Months,2
