Archive_Date,Specialty_HIPE,Specialty_Name,Case_Type,Adult_Child,Age_Profile,Time_Bands,Total
1/31/2021,1902,Paed Cardiology,Day Case,Child,0-15,  0-3 Months,87
1/31/2021,1902,Paed Cardiology,Day Case,Child,0-15,  3-6 Months,52
1/31/2021,1902,Paed Cardiology,Day Case,Child,0-15,  6-9 Months,26
1/31/2021,1902,Paed Cardiology,Day Case,Child,0-15,  9-12 Months,21
1/31/2021,1902,Paed Cardiology,Day Case,Child,0-15, 12-15 Months,9
1/31/2021,1902,Paed Cardiology,Day Case,Child,0-15, 15-18 Months,13
1/31/2021,1902,Paed Cardiology,Day Case,Child,0-15,18+ Months,15
1/31/2021,1902,Paed Cardiology,Day Case,Child,16-64,  0-3 Months,10
1/31/2021,1902,Paed Cardiology,Day Case,Child,16-64,  3-6 Months,6
1/31/2021,1902,Paed Cardiology,Day Case,Child,16-64,  6-9 Months,3
1/31/2021,1902,Paed Cardiology,Day Case,Child,16-64,  9-12 Months,2
1/31/2021,1902,Paed Cardiology,Day Case,Child,16-64, 15-18 Months,2
1/31/2021,1902,Paed Cardiology,Day Case,Child,16-64,18+ Months,3
1/31/2021,1902,Paed Cardiology,Inpatient,Child,0-15,  0-3 Months,3
1/31/2021,1902,Paed Cardiology,Inpatient,Child,0-15,  3-6 Months,3
1/31/2021,1902,Paed Cardiology,Inpatient,Child,16-64,18+ Months,2
1/31/2021,1905,Paed Endocrinology,Day Case,Child,0-15,  0-3 Months,8
1/31/2021,1905,Paed Endocrinology,Day Case,Child,0-15,  3-6 Months,6
1/31/2021,1905,Paed Endocrinology,Day Case,Child,0-15,  6-9 Months,3
1/31/2021,1905,Paed Endocrinology,Day Case,Child,0-15,  9-12 Months,3
1/31/2021,1905,Paed Endocrinology,Day Case,Child,0-15, 12-15 Months,2
1/31/2021,1905,Paed Endocrinology,Day Case,Child,0-15,18+ Months,3
1/31/2021,1905,Paed Endocrinology,Day Case,Child,16-64, 12-15 Months,2
1/31/2021,1905,Paed Endocrinology,Day Case,Child,16-64,18+ Months,2
1/31/2021,1905,Paed Endocrinology,Inpatient,Child,0-15,  0-3 Months,8
1/31/2021,1905,Paed Endocrinology,Inpatient,Child,0-15,  3-6 Months,2
1/31/2021,1905,Paed Endocrinology,Inpatient,Child,0-15,  6-9 Months,2
1/31/2021,1905,Paed Endocrinology,Inpatient,Child,0-15,  9-12 Months,3
1/31/2021,1905,Paed Endocrinology,Inpatient,Child,0-15, 12-15 Months,1
1/31/2021,1905,Paed Endocrinology,Inpatient,Child,0-15, 15-18 Months,1
1/31/2021,1905,Paed Endocrinology,Inpatient,Child,0-15,18+ Months,1
1/31/2021,1905,Paed Endocrinology,Inpatient,Child,16-64, 12-15 Months,1
1/31/2021,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  0-3 Months,40
1/31/2021,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  3-6 Months,13
1/31/2021,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  9-12 Months,1
1/31/2021,1906,Paed Gastro-Enterol,Day Case,Child,0-15, 12-15 Months,1
1/31/2021,1906,Paed Gastro-Enterol,Day Case,Child,0-15, 15-18 Months,2
1/31/2021,1906,Paed Gastro-Enterol,Day Case,Child,16-64,  0-3 Months,2
1/31/2021,1906,Paed Gastro-Enterol,Day Case,Child,16-64,  3-6 Months,2
1/31/2021,1906,Paed Gastro-Enterol,Day Case,Child,16-64,  9-12 Months,1
1/31/2021,1906,Paed Gastro-Enterol,Inpatient,Child,0-15,  0-3 Months,5
1/31/2021,1906,Paed Gastro-Enterol,Inpatient,Child,0-15,  6-9 Months,1
1/31/2021,1906,Paed Gastro-Enterol,Inpatient,Child,0-15,  9-12 Months,1
1/31/2021,1906,Paed Gastro-Enterol,Inpatient,Child,0-15, 15-18 Months,1
1/31/2021,1910,Paed Metabolic Medicine,Inpatient,Child,0-15,  0-3 Months,12
1/31/2021,1910,Paed Metabolic Medicine,Inpatient,Child,0-15,  3-6 Months,1
1/31/2021,1910,Paed Metabolic Medicine,Inpatient,Child,0-15,  6-9 Months,1
1/31/2021,1910,Paed Metabolic Medicine,Inpatient,Child,0-15,  9-12 Months,2
1/31/2021,1910,Paed Metabolic Medicine,Inpatient,Child,0-15, 12-15 Months,2
1/31/2021,1910,Paed Metabolic Medicine,Inpatient,Child,0-15, 15-18 Months,2
1/31/2021,1911,Paed Nephrology,Day Case,Child,0-15,  3-6 Months,2
1/31/2021,1911,Paed Nephrology,Day Case,Child,0-15,  9-12 Months,1
1/31/2021,1911,Paed Nephrology,Day Case,Child,16-64,  9-12 Months,2
1/31/2021,1911,Paed Nephrology,Inpatient,Child,0-15,  3-6 Months,1
1/31/2021,1911,Paed Nephrology,Inpatient,Child,0-15,  6-9 Months,1
1/31/2021,1911,Paed Nephrology,Inpatient,Child,0-15,  9-12 Months,4
1/31/2021,1911,Paed Nephrology,Inpatient,Child,16-64, 15-18 Months,1
1/31/2021,1912,Paediatric Respiratory Medicine,Day Case,Child,0-15,  0-3 Months,3
1/31/2021,1912,Paediatric Respiratory Medicine,Day Case,Child,0-15,  3-6 Months,8
1/31/2021,1912,Paediatric Respiratory Medicine,Day Case,Child,0-15,  6-9 Months,2
1/31/2021,1912,Paediatric Respiratory Medicine,Day Case,Child,0-15,  9-12 Months,1
1/31/2021,1912,Paediatric Respiratory Medicine,Day Case,Child,0-15, 12-15 Months,4
1/31/2021,1912,Paediatric Respiratory Medicine,Day Case,Child,0-15, 15-18 Months,1
1/31/2021,1912,Paediatric Respiratory Medicine,Day Case,Child,0-15,18+ Months,1
1/31/2021,1912,Paediatric Respiratory Medicine,Day Case,Child,16-64,  6-9 Months,1
1/31/2021,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15,  0-3 Months,130
1/31/2021,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15,  3-6 Months,146
1/31/2021,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15,  6-9 Months,119
1/31/2021,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15,  9-12 Months,171
1/31/2021,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15, 12-15 Months,140
1/31/2021,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15, 15-18 Months,111
1/31/2021,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15,18+ Months,149
1/31/2021,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64,  0-3 Months,8
1/31/2021,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64,  3-6 Months,5
1/31/2021,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64,  6-9 Months,8
1/31/2021,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64,  9-12 Months,4
1/31/2021,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64, 12-15 Months,9
1/31/2021,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64, 15-18 Months,9
1/31/2021,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64,18+ Months,11
1/31/2021,1915,Paediatric Dermatology,Day Case,Child,0-15,  0-3 Months,17
1/31/2021,1915,Paediatric Dermatology,Day Case,Child,0-15,  3-6 Months,20
1/31/2021,1915,Paediatric Dermatology,Day Case,Child,0-15,  6-9 Months,6
1/31/2021,1915,Paediatric Dermatology,Day Case,Child,0-15,  9-12 Months,11
1/31/2021,1915,Paediatric Dermatology,Day Case,Child,0-15, 12-15 Months,3
1/31/2021,1915,Paediatric Dermatology,Day Case,Child,0-15, 15-18 Months,3
1/31/2021,1915,Paediatric Dermatology,Day Case,Child,0-15,18+ Months,2
1/31/2021,1915,Paediatric Dermatology,Day Case,Child,16-64,  0-3 Months,1
1/31/2021,1915,Paediatric Dermatology,Day Case,Child,16-64,  3-6 Months,3
1/31/2021,1915,Paediatric Dermatology,Day Case,Child,16-64,  6-9 Months,1
1/31/2021,1915,Paediatric Dermatology,Day Case,Child,16-64,  9-12 Months,1
1/31/2021,1915,Paediatric Dermatology,Inpatient,Child,0-15,  0-3 Months,2
1/31/2021,2000,Plastic Surgery,Day Case,Child,0-15,  0-3 Months,57
1/31/2021,2000,Plastic Surgery,Day Case,Child,0-15,  3-6 Months,38
1/31/2021,2000,Plastic Surgery,Day Case,Child,0-15,  6-9 Months,23
1/31/2021,2000,Plastic Surgery,Day Case,Child,0-15,  9-12 Months,21
1/31/2021,2000,Plastic Surgery,Day Case,Child,0-15, 12-15 Months,16
1/31/2021,2000,Plastic Surgery,Day Case,Child,0-15, 15-18 Months,13
1/31/2021,2000,Plastic Surgery,Day Case,Child,0-15,18+ Months,12
1/31/2021,2000,Plastic Surgery,Day Case,Child,16-64,  0-3 Months,1
1/31/2021,2000,Plastic Surgery,Day Case,Child,16-64,  9-12 Months,5
1/31/2021,2000,Plastic Surgery,Day Case,Child,16-64, 12-15 Months,1
1/31/2021,2000,Plastic Surgery,Day Case,Child,16-64,18+ Months,3
1/31/2021,2000,Plastic Surgery,Inpatient,Child,0-15,  0-3 Months,21
1/31/2021,2000,Plastic Surgery,Inpatient,Child,0-15,  3-6 Months,9
1/31/2021,2000,Plastic Surgery,Inpatient,Child,0-15,  6-9 Months,15
1/31/2021,2000,Plastic Surgery,Inpatient,Child,0-15,  9-12 Months,8
1/31/2021,2000,Plastic Surgery,Inpatient,Child,0-15, 12-15 Months,3
1/31/2021,2000,Plastic Surgery,Inpatient,Child,0-15, 15-18 Months,1
1/31/2021,2000,Plastic Surgery,Inpatient,Child,0-15,18+ Months,4
1/31/2021,2000,Plastic Surgery,Inpatient,Child,16-64,  6-9 Months,1
1/31/2021,2003,Maxillo-Facial,Day Case,Child,0-15,  0-3 Months,5
1/31/2021,2003,Maxillo-Facial,Day Case,Child,0-15,  3-6 Months,6
1/31/2021,2003,Maxillo-Facial,Day Case,Child,0-15,  6-9 Months,3
1/31/2021,2003,Maxillo-Facial,Day Case,Child,0-15,  9-12 Months,2
1/31/2021,2003,Maxillo-Facial,Day Case,Child,0-15, 12-15 Months,1
1/31/2021,2003,Maxillo-Facial,Day Case,Child,0-15, 15-18 Months,2
1/31/2021,2003,Maxillo-Facial,Day Case,Child,0-15,18+ Months,3
1/31/2021,2003,Maxillo-Facial,Day Case,Child,16-64,  9-12 Months,2
1/31/2021,2003,Maxillo-Facial,Inpatient,Child,0-15,  0-3 Months,9
1/31/2021,2003,Maxillo-Facial,Inpatient,Child,0-15,  3-6 Months,7
1/31/2021,2003,Maxillo-Facial,Inpatient,Child,0-15,  9-12 Months,1
1/31/2021,2003,Maxillo-Facial,Inpatient,Child,0-15, 12-15 Months,2
1/31/2021,2003,Maxillo-Facial,Inpatient,Child,0-15, 15-18 Months,2
1/31/2021,2003,Maxillo-Facial,Inpatient,Child,0-15,18+ Months,1
1/31/2021,2202,Paediatric Radiology,Day Case,Child,0-15,  0-3 Months,5
1/31/2021,2202,Paediatric Radiology,Day Case,Child,0-15,  3-6 Months,1
1/31/2021,2202,Paediatric Radiology,Day Case,Child,0-15,  6-9 Months,5
1/31/2021,2202,Paediatric Radiology,Day Case,Child,0-15,  9-12 Months,6
1/31/2021,2202,Paediatric Radiology,Day Case,Child,0-15, 12-15 Months,4
1/31/2021,2202,Paediatric Radiology,Day Case,Child,0-15, 15-18 Months,2
1/31/2021,2202,Paediatric Radiology,Day Case,Child,0-15,18+ Months,9
1/31/2021,2202,Paediatric Radiology,Day Case,Child,16-64,18+ Months,1
1/31/2021,2202,Paediatric Radiology,Inpatient,Child,0-15,  0-3 Months,2
1/31/2021,2202,Paediatric Radiology,Inpatient,Child,0-15,  6-9 Months,1
1/31/2021,2202,Paediatric Radiology,Inpatient,Child,0-15, 12-15 Months,1
1/31/2021,2500,Rheumatology,Day Case,Child,0-15,  0-3 Months,3
1/31/2021,2500,Rheumatology,Day Case,Child,0-15,  3-6 Months,2
1/31/2021,2500,Rheumatology,Day Case,Child,0-15,  9-12 Months,5
1/31/2021,2500,Rheumatology,Day Case,Child,0-15, 12-15 Months,1
1/31/2021,2500,Rheumatology,Day Case,Child,0-15, 15-18 Months,6
1/31/2021,2500,Rheumatology,Day Case,Child,0-15,18+ Months,33
1/31/2021,2500,Rheumatology,Day Case,Child,16-64,  0-3 Months,1
1/31/2021,2500,Rheumatology,Day Case,Child,16-64, 15-18 Months,1
1/31/2021,2500,Rheumatology,Day Case,Child,16-64,18+ Months,26
1/31/2021,2500,Rheumatology,Inpatient,Child,0-15,  0-3 Months,1
1/31/2021,2500,Rheumatology,Inpatient,Child,0-15,  3-6 Months,1
1/31/2021,2500,Rheumatology,Inpatient,Child,0-15,18+ Months,3
1/31/2021,2500,Rheumatology,Inpatient,Child,16-64,18+ Months,2
1/31/2021,7000,Dental Surgery,Day Case,Child,0-15,  0-3 Months,46
1/31/2021,7000,Dental Surgery,Day Case,Child,0-15,  3-6 Months,25
1/31/2021,7000,Dental Surgery,Day Case,Child,0-15,  6-9 Months,22
1/31/2021,7000,Dental Surgery,Day Case,Child,0-15,  9-12 Months,24
1/31/2021,7000,Dental Surgery,Day Case,Child,0-15, 12-15 Months,40
1/31/2021,7000,Dental Surgery,Day Case,Child,0-15, 15-18 Months,19
1/31/2021,7000,Dental Surgery,Day Case,Child,0-15,18+ Months,56
1/31/2021,7000,Dental Surgery,Day Case,Child,16-64,  3-6 Months,1
1/31/2021,7000,Dental Surgery,Day Case,Child,16-64,  9-12 Months,1
1/31/2021,7000,Dental Surgery,Day Case,Child,16-64, 12-15 Months,1
1/31/2021,7000,Dental Surgery,Day Case,Child,16-64,18+ Months,4
1/31/2021,7000,Dental Surgery,Inpatient,Child,0-15,  0-3 Months,2
1/31/2021,7000,Dental Surgery,Inpatient,Child,0-15,  3-6 Months,4
1/31/2021,7000,Dental Surgery,Inpatient,Child,0-15,  6-9 Months,2
1/31/2021,7000,Dental Surgery,Inpatient,Child,0-15,  9-12 Months,1
1/31/2021,7000,Dental Surgery,Inpatient,Child,0-15, 12-15 Months,1
1/31/2021,7000,Dental Surgery,Inpatient,Child,0-15, 15-18 Months,2
1/31/2021,7000,Dental Surgery,Inpatient,Child,0-15,18+ Months,8
1/31/2021,7200,Paediatric Surgery,Day Case,Child,0-15,  0-3 Months,140
1/31/2021,7200,Paediatric Surgery,Day Case,Child,0-15,  3-6 Months,79
1/31/2021,7200,Paediatric Surgery,Day Case,Child,0-15,  6-9 Months,30
1/31/2021,7200,Paediatric Surgery,Day Case,Child,0-15,  9-12 Months,25
1/31/2021,7200,Paediatric Surgery,Day Case,Child,0-15, 12-15 Months,21
1/31/2021,7200,Paediatric Surgery,Day Case,Child,0-15, 15-18 Months,6
1/31/2021,7200,Paediatric Surgery,Day Case,Child,0-15,18+ Months,10
1/31/2021,7200,Paediatric Surgery,Day Case,Child,16-64,  0-3 Months,5
1/31/2021,7200,Paediatric Surgery,Day Case,Child,16-64,  3-6 Months,2
1/31/2021,7200,Paediatric Surgery,Day Case,Child,16-64,  9-12 Months,1
1/31/2021,7200,Paediatric Surgery,Day Case,Child,16-64, 12-15 Months,2
1/31/2021,7200,Paediatric Surgery,Day Case,Child,16-64,18+ Months,1
1/31/2021,7200,Paediatric Surgery,Inpatient,Child,0-15,  0-3 Months,32
1/31/2021,7200,Paediatric Surgery,Inpatient,Child,0-15,  3-6 Months,29
1/31/2021,7200,Paediatric Surgery,Inpatient,Child,0-15,  6-9 Months,9
1/31/2021,7200,Paediatric Surgery,Inpatient,Child,0-15,  9-12 Months,9
1/31/2021,7200,Paediatric Surgery,Inpatient,Child,0-15, 12-15 Months,5
1/31/2021,7200,Paediatric Surgery,Inpatient,Child,0-15, 15-18 Months,8
1/31/2021,7200,Paediatric Surgery,Inpatient,Child,0-15,18+ Months,4
1/31/2021,7200,Paediatric Surgery,Inpatient,Child,16-64,  3-6 Months,3
1/31/2021,7200,Paediatric Surgery,Inpatient,Child,16-64, 12-15 Months,2
1/31/2021,7200,Paediatric Surgery,Inpatient,Child,16-64, 15-18 Months,1
1/31/2021,7600,Cardio-Thoracic Surgery,Day Case,Child,0-15,  0-3 Months,3
1/31/2021,7600,Cardio-Thoracic Surgery,Day Case,Child,0-15,  3-6 Months,1
1/31/2021,7600,Cardio-Thoracic Surgery,Day Case,Child,0-15,  6-9 Months,1
1/31/2021,7600,Cardio-Thoracic Surgery,Inpatient,Child,0-15,  0-3 Months,43
1/31/2021,7600,Cardio-Thoracic Surgery,Inpatient,Child,0-15,  3-6 Months,21
1/31/2021,7600,Cardio-Thoracic Surgery,Inpatient,Child,0-15,  6-9 Months,3
1/31/2021,7600,Cardio-Thoracic Surgery,Inpatient,Child,0-15,  9-12 Months,1
1/31/2021,7600,Cardio-Thoracic Surgery,Inpatient,Child,16-64,  0-3 Months,1
1/31/2021,7600,Cardio-Thoracic Surgery,Inpatient,Child,16-64,  3-6 Months,1
1/31/2021,7600,Cardio-Thoracic Surgery,Inpatient,Child,16-64,  6-9 Months,1
1/31/2021,7803,Paediatric Urology,Day Case,Child,0-15,  0-3 Months,45
1/31/2021,7803,Paediatric Urology,Day Case,Child,0-15,  3-6 Months,41
1/31/2021,7803,Paediatric Urology,Day Case,Child,0-15,  6-9 Months,33
1/31/2021,7803,Paediatric Urology,Day Case,Child,0-15,  9-12 Months,23
1/31/2021,7803,Paediatric Urology,Day Case,Child,0-15, 12-15 Months,23
1/31/2021,7803,Paediatric Urology,Day Case,Child,0-15, 15-18 Months,18
1/31/2021,7803,Paediatric Urology,Day Case,Child,0-15,18+ Months,57
1/31/2021,7803,Paediatric Urology,Day Case,Child,16-64,  0-3 Months,2
1/31/2021,7803,Paediatric Urology,Day Case,Child,16-64,  6-9 Months,1
1/31/2021,7803,Paediatric Urology,Day Case,Child,16-64,  9-12 Months,2
1/31/2021,7803,Paediatric Urology,Day Case,Child,16-64, 12-15 Months,1
1/31/2021,7803,Paediatric Urology,Day Case,Child,16-64,18+ Months,1
1/31/2021,7803,Paediatric Urology,Inpatient,Child,0-15,  0-3 Months,32
1/31/2021,7803,Paediatric Urology,Inpatient,Child,0-15,  3-6 Months,19
1/31/2021,7803,Paediatric Urology,Inpatient,Child,0-15,  6-9 Months,3
